"자치구별(1)",자치구별(2),2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"자치구별(1)",자치구별(2),소계,소계,소계,20세미만,20세미만,20세미만,20~24세,20~24세,20~24세,25~29세,25~29세,25~29세,30~34세,30~34세,30~34세,35~39세,35~39세,35~39세,40~44세,40~44세,40~44세,45~49세,45~49세,45~49세,50~54세,50~54세,50~54세,55~59세,55~59세,55~59세,60~64세,60~64세,60~64세,65~69세,65~69세,65~69세,70~74세,70~74세,70~74세,75~79세,75~79세,75~79세,80~84세,80~84세,80~84세,85세이상,85세이상,85세이상
"자치구별(1)",자치구별(2),계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자,계,남자,여자
"합계",소계,1489893,698324,791569,10687,4021,6666,126833,43490,83343,263071,124539,138532,204717,113310,91407,131942,73811,58131,99293,55555,43738,89640,51706,37934,89413,52407,37006,86500,47858,38642,102413,46587,55826,88494,34324,54170,69402,21800,47602,57061,14397,42664,42020,8983,33037,28407,5536,22871
"합계",종로구,27308,13211,14097,328,111,217,3211,1146,2065,4588,2342,2246,3205,1791,1414,2015,1091,924,1690,860,830,1620,908,712,1783,1022,761,1757,1073,684,1864,976,888,1546,759,787,1160,414,746,1133,366,767,811,207,604,597,145,452
"합계",중구,24544,11654,12890,268,68,200,2232,703,1529,3792,1753,2039,3081,1620,1461,2187,1186,1001,1607,863,744,1486,886,600,1609,981,628,1540,921,619,1728,897,831,1567,756,811,1168,457,711,962,290,672,762,161,601,555,112,443
"합계",용산구,39270,18124,21146,140,41,99,2620,558,2062,6396,2864,3532,6225,3393,2832,4436,2413,2023,3106,1655,1451,2624,1450,1174,2451,1386,1065,2166,1234,932,2364,1164,1200,1925,815,1110,1466,482,984,1335,296,1039,1117,230,887,899,143,756
"합계",성동구,44946,22127,22819,534,212,322,4719,1917,2802,7909,4222,3687,5542,3105,2437,3828,2193,1635,3011,1649,1362,2773,1588,1185,2822,1709,1113,2721,1602,1119,3078,1552,1526,2464,1027,1437,1854,557,1297,1666,382,1284,1252,255,997,773,157,616
"합계",광진구,66140,31456,34684,465,169,296,7334,2679,4655,14420,6774,7646,9932,5314,4618,5870,3081,2789,4257,2340,1917,3554,2098,1456,3738,2227,1511,3608,2093,1515,3969,1885,2084,3023,1211,1812,2184,719,1465,1764,480,1284,1216,256,960,806,130,676
"합계",동대문구,65290,32424,32866,1198,457,741,11264,4323,6941,12124,6683,5441,6772,3978,2794,4190,2453,1737,3456,2041,1415,3274,2056,1218,3438,2209,1229,3385,2074,1311,4191,2131,2060,3641,1650,1991,2941,1035,1906,2473,661,1812,1827,422,1405,1116,251,865
"합계",중랑구,60487,29812,30675,169,67,102,2565,849,1716,7240,3267,3973,6465,3574,2891,4753,2806,1947,4021,2373,1648,4058,2455,1603,4917,3103,1814,5535,3354,2181,6209,3107,3102,5001,2167,2834,3578,1222,2356,2846,774,2072,1933,461,1472,1197,233,964
"합계",성북구,64985,29018,35967,1396,451,945,11312,3902,7410,10754,5644,5110,6373,3635,2738,4307,2424,1883,3443,1913,1530,3439,1919,1520,3601,2086,1515,3296,1719,1577,4209,1853,2356,3589,1303,2286,2990,830,2160,2685,612,2073,2101,450,1651,1490,277,1213
"합계",강북구,48428,22386,26042,250,64,186,3151,825,2326,5326,2562,2764,4084,2350,1734,3099,1889,1210,2882,1771,1111,3149,1871,1278,3755,2244,1511,3952,2203,1749,4920,2342,2578,4172,1729,2443,3552,1124,2428,2974,738,2236,2024,439,1585,1138,235,903
"합계",도봉구,37853,16789,21064,151,40,111,1671,421,1250,3288,1496,1792,3056,1754,1302,2547,1502,1045,2409,1373,1036,2637,1534,1103,3017,1621,1396,3207,1672,1535,4040,1820,2220,3472,1378,2094,2768,879,1889,2328,604,1724,1934,412,1522,1328,283,1045
"합계",노원구,60647,25813,34834,644,263,381,5683,2429,3254,5680,3137,2543,4716,2789,1927,3803,2122,1681,3421,1875,1546,3613,1899,1714,3983,2110,1873,4190,1965,2225,5615,2211,3404,5444,1841,3603,4531,1283,3248,4027,914,3113,3186,590,2596,2111,385,1726
"합계",은평구,62447,27014,35433,190,60,130,3117,948,2169,8772,3641,5131,7300,3847,3453,5363,2896,2467,4294,2270,2024,4228,2301,1927,4239,2321,1918,4198,2117,2081,5353,2203,3150,4579,1659,2920,3767,1105,2662,3256,813,2443,2353,527,1826,1438,306,1132
"합계",서대문구,52792,23061,29731,857,269,588,8953,2833,6120,9992,4994,4998,5910,3174,2736,3773,2054,1719,2823,1537,1286,2661,1471,1190,2755,1506,1249,2542,1332,1210,2914,1268,1646,2642,997,1645,2195,620,1575,2017,446,1571,1691,337,1354,1067,223,844
